Year,State,CoC Name,Org Name,Program Name,Program Type,Award Amount
2018,AK,AK-500 - Anchorage CoC,Abused Women's Aid in Crisis,CoC,AK-500 - REN - AWAIC Rapid ReHousing Program,158313
2018,AK,AK-500 - Anchorage CoC,Abused Women's Aid in Crisis,CoC,AK-500 - NEW - Rapid Re-Housing for Domestic Violence Victims with Substance Use Issues,133166
2018,AK,AK-501 - Alaska Balance of State CoC,Alaska Coalition on Housing and Homelessness,CoC,AK-501 - REN - AK Balance of State Dedicated HMIS Project,30206
2018,AK,AK-500 - Anchorage CoC,Alaska Housing Finance Corporation,CoC,AK-500 - REN - 2018 CoC ANC SRA,705406
2018,AK,AK-501 - Alaska Balance of State CoC,Alaska Housing Finance Corporation,CoC,AK-501 - REN - 2018 CoC SVP SRA,61440
2018,AK,AK-501 - Alaska Balance of State CoC,Alaska Housing Finance Corporation,CoC,AK-501 - REN - 2018 CoC VRS SRA,73279
2018,AK,AK-501 - Alaska Balance of State CoC,Alaska Housing Finance Corporation,CoC,AK-501 - REN - 2018 CoC TCC HsgFst PSH-CH,98545
2018,AK,AK-501 - Alaska Balance of State CoC,Alaska Housing Finance Corporation,CoC,AK-501 - REN - 2018 CoC KPH SRA,23272
2018,AK,AK-501 - Alaska Balance of State CoC,Alaska Housing Finance Corporation,CoC,AK-501 - PLN - AK-501 CoC Planning Application FY2018,23295
2018,AK,AK-500 - Anchorage CoC,Anchorage Coalition to End Homelessness,CoC,AK-500 - REN - Anchorage Dedicated HMIS Project,175994
2018,AK,AK-500 - Anchorage CoC,Anchorage Coalition to End Homelessness,CoC,AK-500 - REN - Anchorage Coordinated Entry System Project,77600
2018,AK,AK-500 - Anchorage CoC,Anchorage Coalition to End Homelessness,CoC,AK-500 - PLN - CoC Planning Project Application FY2018,85413
2018,AK,AK-500 - Anchorage CoC,Anchorage Housing Initiatives,CoC,AK-500 - REN - Coming Home I,129811
2018,AK,AK-500 - Anchorage CoC,Covenant House - Alaska,CoC,AK-500 - REN - Rights of Passage,241062
2018,AK,AK-501 - Alaska Balance of State CoC,Interior Alaska Center for Non-Violent Living,CoC,AK-501 - REN - Burch Supportive Housing,91918
2018,AK,AK-501 - Alaska Balance of State CoC,Interior Alaska Center for Non-Violent Living,CoC,AK-501 - REN - Our House - PSH,68551
2018,AK,AK-501 - Alaska Balance of State CoC,Juneau Community Foundation,CoC,AK-501 - REN - Juneau Housing First Collaborative,67956
2018,AK,AK-501 - Alaska Balance of State CoC,"LeeShore Center, The",CoC,AK-501 - REN - Supportive Housing Program,67313
2018,AK,AK-500 - Anchorage CoC,NeighborWorks Alaska,CoC,AK-500 - REN - Resources and Initiatives to Support and Empower,863363
2018,AK,AK-501 - Alaska Balance of State CoC,No Limits,CoC,AK-501 - NEW - Home Free PSH new project,49086
2018,AK,AK-501 - Alaska Balance of State CoC,Nome Community Center,CoC,AK-501 - REN - AK 501 NCC-NEST PSH,55732
2018,AK,AK-500 - Anchorage CoC,Rural Alaska Community Action Program (RurAL CAP),CoC,AK-500 - REN - 325 East 3rd Avenue,542530
2018,AK,AK-501 - Alaska Balance of State CoC,St. Vincent de Paul Society - Diocesan Council of Southeast Alaska,CoC,AK-501 - REN - Paul's Place SHP,34714
2018,AK,AK-501 - Alaska Balance of State CoC,Valley Charities,CoC,AK-501 - REN - Neighbor to Neighbor: A Community Solution to Homelessness,67364
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",AIDS Alabama,CoC,AL-500 - REN - Ascension Project Consolidated FY2018,982136
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",AIDS Alabama,CoC,AL-500 - REN - Le Transclusive Project Consolidated FY2018,446360
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",AIDS Alabama,CoC,AL-500 - REN - Way Station TH/RRH FY2018,295921
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Alabama,CoC,AL-501 - REN - ADMH MI-Rental Assistance Mobile based project,266939
2018,AL,AL-507 - Alabama Balance of State CoC,Alabama,CoC,AL-507 - REN - ADMH MI-Rental Assistance Rural based project,96624
2018,AL,AL-507 - Alabama Balance of State CoC,"Alabama Rural Coalition for the Homeless, The",CoC,AL-507 - REN - HMIS Project,131211
2018,AL,AL-507 - Alabama Balance of State CoC,"Alabama Rural Coalition for the Homeless, The",CoC,AL-507 - REN - ARCH PROJECT CHANGING LIVES 2018,196849
2018,AL,AL-507 - Alabama Balance of State CoC,"Alabama Rural Coalition for the Homeless, The",CoC,AL-507 - REN - ARCH CONNECT 2018,493244
2018,AL,AL-507 - Alabama Balance of State CoC,"Alabama Rural Coalition for the Homeless, The",CoC,AL-507 - REN - Rural Housing Stability Assistance Program (RH-SAP) 2018,148758
2018,AL,AL-507 - Alabama Balance of State CoC,"Alabama Rural Coalition for the Homeless, The",CoC,AL-507 - PLN - AL-507 CoC Planning Application FY2018,118565
2018,AL,AL-502 - Florence/Northwest Alabama CoC,Community Action Agency of Northwest Alabama,CoC,AL-502 - REN - PH & Supportive Services 2018,380739
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Cooperative Downtown Ministries,CoC,AL-500 - REN EXP - PY2018 Consolidated PSH Expansion,722336
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Cooperative Downtown Ministries,CoC,AL-500 - REN - PY18 Safe Haven Renewal,128834
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Cooperative Downtown Ministries,CoC,AL-500 - REN - FY2018 Nashamah,223262
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",First Light,CoC,AL-500 - REN - TRIO-PSH 2018,389302
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",First Light,CoC,AL-500 - REN - Fourth floor 2018 Renewal,103515
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",First Light,CoC,AL-500 - REN - Rapid Rehousing for families and individuals 2018,472535
2018,AL,AL-504 - Montgomery City and County CoC,HandsOn River Region,CoC,AL-504 - REN - HMIS Project,71667
2018,AL,AL-502 - Florence/Northwest Alabama CoC,Homeless Care Council of Northwest Alabama,CoC,AL-502 - PLN - CoC Planning Grant FY 2018,17104
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - REN - Community Housing Program,1008672
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - REN - Homeless Management Information System,173723
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - REN - Community Connections Network,752973
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - REN - Permanent Housing Chronic Homeless,457641
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - REN - Disabled Homeless Program PH,562261
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - REN EXP - RRH for Families and Youth Expansion,477344
2018,AL,AL-501 - Mobile City and County/Baldwin County CoC,Housing First - Alabama,CoC,AL-501 - PLN - CoC Planning Activities 2018,112248
2018,AL,AL-503 - Huntsville/North Alabama CoC,"Huntsville Housing Authority, AL",CoC,AL-503 - REN - Shelter Plus Care 2018,400402
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC","Jefferson County Housing Authority, AL",CoC,AL-500 - REN - AL0013L4C001710,3463615
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Jefferson-Blount-St. Clair Mental Health Authority,CoC,AL-500 - REN EXP - Expansion of Supportive Hsg Program FY18,484557
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Jefferson-Blount-St. Clair Mental Health Authority,CoC,AL-500 - REN - REACT Supportive Housing FY18,596024
2018,AL,AL-504 - Montgomery City and County CoC,Montgomery Area Coalition for the Homeless,CoC,AL-504 - NEW - MACH Coordinated Assessment Network (MACH C.A.N.) - SSO-CE,59424
2018,AL,AL-504 - Montgomery City and County CoC,Montgomery Area Coalition for the Homeless,CoC,AL-504 - PLN - AL-504 CoC Planning Application FY2018,47531
2018,AL,AL-504 - Montgomery City and County CoC,Montgomery Area Family Violence Program,CoC,AL-504 - REN - Phase I Transitional Housing Program for Family Violence Victims,167788
2018,AL,AL-504 - Montgomery City and County CoC,Montgomery Area Family Violence Program,CoC,AL-504 - REN EXP - Joint RRH & TH Phase II for DV Victims – Expansion,182927
2018,AL,AL-504 - Montgomery City and County CoC,Montgomery Area Mental Health Authority,CoC,AL-504 - REN - 525 - Supportive Housing for Person with Dual Diagnosis,714339
2018,AL,AL-503 - Huntsville/North Alabama CoC,North Alabama Coalition for the Homeless,CoC,AL-503 - REN EXP - 2018 HMIS Expanded,156498
2018,AL,AL-503 - Huntsville/North Alabama CoC,North Alabama Coalition for the Homeless,CoC,AL-503 - REN - 2018 Consolidated Coordinated Entry,80087
2018,AL,AL-503 - Huntsville/North Alabama CoC,North Alabama Coalition for the Homeless,CoC,AL-503 - PLN - 2018 CoC Planning,27551
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",One Roof,CoC,AL-500 - REN - HMIS Consolidated Grant,282480
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",One Roof,CoC,AL-500 - REN - Coordinated Assessment,377643
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",One Roof,CoC,AL-500 - PLN - AL-500 CoC Planning Application FY2018,259416
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Pathways - Alabama,CoC,AL-500 - REN - Safe Haven Shelter for Women,142468
2018,AL,AL-506 - Tuscaloosa City and County CoC,"Salvation Army - Southern Territory, The",CoC,AL-506 - REN - 2018 Veterans Transitional Living Program,15559
2018,AL,AL-506 - Tuscaloosa City and County CoC,Tuscaloosa Housing Authority,CoC,AL-506 - REN - FY2018CoC76Renewal,50700
2018,AL,AL-506 - Tuscaloosa City and County CoC,Tuscaloosa Housing Authority,CoC,AL-506 - REN - FY2018CoC87Renewal,95040
2018,AL,AL-506 - Tuscaloosa City and County CoC,"Tuscaloosa, AL",CoC,AL-506 - REN - City of Tuscaloosa FY 2018 HMIS Renewal Project,42000
