coc_id,year,coc_name,award_amount
1,2015,AK-500 - Anchorage CoC,2949710
2,2015,AK-501 - Alaska Balance of State CoC,762763
3,2015,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",8997707
4,2015,AL-501 - Mobile City and County/Baldwin County CoC,3953258
5,2015,AL-502 - Florence/Northwest Alabama CoC,502183
6,2015,AL-503 - Huntsville/North Alabama CoC,754922
7,2015,AL-504 - Montgomery City and County CoC,2112078
8,2015,AL-506 - Tuscaloosa City and County CoC,232472
9,2015,AL-507 - Alabama Balance of State CoC,543801
10,2015,AR-500 - Little Rock/Central Arkansas CoC,3353320
11,2015,AR-501 - Fayetteville/Northwest Arkansas CoC,394778
12,2015,AR-503 - Arkansas Balance of State CoC,376455
13,2015,AR-504 - Delta Hills CoC,24141
14,2015,AR-505 - Southeast Arkansas CoC,292022
15,2015,AZ-500 - Arizona Balance of State CoC,4008374
16,2015,AZ-501 - Tucson/Pima County CoC,8428109
17,2015,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",26882333
18,2015,"CA-500 - San Jose, Santa Clara City and County CoC",20204762
19,2015,CA-501 - San Francisco CoC,30968697
20,2015,"CA-502 - Oakland, Berkeley/Alameda County CoC",28980863
21,2015,CA-503 - Sacramento City and County CoC,19138664
22,2015,"CA-504 - Santa Rosa, Petaluma/Sonoma County CoC",3087262
23,2015,CA-505 - Richmond/Contra Costa County CoC,11104352
24,2015,"CA-506 - Salinas/Monterey, San Benito Counties CoC",1972200
25,2015,CA-507 - Marin County CoC,3264434
26,2015,CA-508 - Watsonville/Santa Cruz City and County CoC,2261790
27,2015,CA-509 - Mendocino County CoC,1777940
28,2015,"CA-510 - Turlock, Modesto/Stanislaus County CoC",2963830
29,2015,CA-511 - Stockton/San Joaquin County CoC,4180278
30,2015,CA-512 - Daly City/San Mateo County CoC,9455481
31,2015,"CA-513 - Visalia/Kings, Tulare Counties CoC",1923277
32,2015,CA-514 - Fresno City and County/Madera County CoC,8737368
33,2015,"CA-515 - Roseville, Rocklin/Placer, Nevada Counties CoC",1256067
34,2015,CA-516 - Redding/Shasta County CoC,317347
35,2015,CA-517 - Napa City and County CoC,712708
36,2015,CA-518 - Vallejo/Solano County CoC,1254088
37,2015,"CA-519 - Chico, Paradise/Butte County CoC",531742
38,2015,CA-520 - Merced City and County CoC,659165
39,2015,"CA-521 - Davis, Woodland/Yolo County CoC",474575
40,2015,CA-522 - Humboldt County CoC,819897
41,2015,CA-524 - Yuba City/Sutter County CoC,2490
42,2015,CA-525 - El Dorado County CoC,10556
43,2015,"CA-526 - Tuolumne, Amador, Calaveras, Mariposa Counties CoC",313840
44,2015,CA-527 - Tehama County CoC,5629
45,2015,CA-600 - Los Angeles City and County CoC,99691350
46,2015,CA-601 - San Diego City and County CoC,17859969
47,2015,"CA-602 - Santa Ana, Anaheim/Orange County CoC",22025895
48,2015,CA-603 - Santa Maria/Santa Barbara County CoC,1607635
49,2015,CA-604 - Bakersfield/Kern County CoC,4790096
50,2015,CA-606 - Long Beach CoC,6965080
51,2015,CA-607 - Pasadena CoC,3112977
52,2015,CA-608 - Riverside City and County CoC,9289429
53,2015,CA-609 - San Bernardino City and County CoC,9366053
54,2015,"CA-611 - Oxnard, San Buenaventura/Ventura County CoC",1970367
55,2015,CA-612 - Glendale CoC,2319804
56,2015,CA-613 - Imperial County CoC,191131
57,2015,CA-614 - San Luis Obispo County CoC,935156
58,2015,"CA-615 - Alpine, Inyo, Mono Counties CoC",2862
59,2015,CO-500 - Colorado Balance of State CoC,2874257
60,2015,CO-503 - Metropolitan Denver CoC,24388048
61,2015,CO-504 - Colorado Springs/El Paso County CoC,2452453
62,2015,CT-502 - Hartford CoC,6411420
63,2015,"CT-503 - Bridgeport, Stamford, Norwalk/Fairfield County CoC",10169085
64,2015,CT-505 - Connecticut Balance of State CoC,27081272
65,2015,DC-500 - District of Columbia CoC,23888687
66,2015,DE-500 - Delaware Statewide CoC,7785779
67,2015,"FL-500 - Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1113950
68,2015,FL-501 - Tampa/Hillsborough County CoC,6240062
69,2015,"FL-502 - Saint Petersburg, Clearwater, Largo/Pinellas County CoC",4036255
70,2015,"FL-503 - Lakeland, Winterhaven/Polk County CoC",1614059
71,2015,"FL-504 - Daytona Beach, Daytona/Volusia, Flagler Counties CoC",1090050
72,2015,"FL-505 - Fort Walton Beach/Okaloosa, Walton Counties CoC",576097
73,2015,FL-506 - Tallahassee/Leon County CoC,1341674
74,2015,"FL-507 - Orlando/Orange, Osceola, Seminole Counties CoC",7444936
75,2015,"FL-508 - Gainesville/Alachua, Putnam Counties CoC",587300
76,2015,"FL-509 - Fort Pierce/Saint Lucie, Indian River, Martin Counties CoC",1514817
77,2015,"FL-510 - Jacksonville-Duval, Clay Counties CoC",4597556
78,2015,"FL-511 - Pensacola/Escambia, Santa Rosa Counties CoC",836821
79,2015,FL-512 - Saint Johns County CoC,139559
80,2015,"FL-513 - Palm Bay, Melbourne/Brevard County CoC",719252
81,2015,FL-514 - Ocala/Marion County CoC,243373
82,2015,"FL-515 - Panama City/Bay, Jackson Counties CoC",42952
83,2015,"FL-517 - Hendry, Hardee, Highlands Counties CoC",190199
84,2015,"FL-518 - Columbia, Hamilton, Lafayette, Suwannee Counties CoC",357005
85,2015,FL-519 - Pasco County CoC,763038
86,2015,"FL-520 - Citrus, Hernando, Lake, Sumter Counties CoC",396759
87,2015,FL-600 - Miami-Dade County CoC,29730926
